"Date","Price","Open","High","Low","Vol.","Change %"
"09/29/2025","3,816.25","3,796.12","3,817.45","3,792.97","34.96K","0.54%"
"09/28/2025","3,795.85","3,790.60","3,801.60","3,790.55","8.09K","0.05%"
"09/26/2025","3,793.90","3,762.90","3,798.70","3,752.10","205.29K","1.00%"
"09/25/2025","3,756.50","3,758.00","3,775.90","3,739.00","1.35K","0.08%"
"09/24/2025","3,753.40","3,784.30","3,798.50","3,735.70","1.49K","-1.27%"
"09/23/2025","3,801.80","3,767.30","3,808.00","3,759.30","2.29K","1.07%"
"09/22/2025","3,761.60","3,707.50","3,769.00","3,705.00","1.08K","1.08%"
"09/21/2025","3,721.52","3,721.30","3,727.30","3,718.15","9.30K","0.42%"
"09/19/2025","3,705.80","3,677.70","3,719.60","3,664.40","186.95K","0.75%"
"09/18/2025","3,678.30","3,692.50","3,707.30","3,660.50","224.13K","-1.06%"
"09/17/2025","3,717.80","3,727.30","3,744.00","3,679.50","256.05K","-0.20%"
"09/16/2025","3,725.10","3,720.30","3,739.90","3,711.80","192.30K","0.16%"
"09/15/2025","3,719.00","3,680.20","3,724.90","3,662.80","189.45K","0.88%"
"09/12/2025","3,686.40","3,672.80","3,695.50","3,667.30","154.56K","0.35%"
"09/11/2025","3,673.60","3,680.60","3,687.50","3,651.00","214.61K","-0.23%"
"09/10/2025","3,682.00","3,662.00","3,697.50","3,651.40","182.03K","-0.01%"
"09/09/2025","3,682.20","3,676.60","3,715.20","3,663.70","262.66K","0.13%"
"09/08/2025","3,677.40","3,635.00","3,685.70","3,621.70","227.64K","0.66%"
"09/05/2025","3,653.30","3,602.00","3,655.50","3,595.40","237.65K","1.29%"
"09/04/2025","3,606.70","3,619.80","3,621.60","3,573.70","232.58K","-0.79%"
"09/03/2025","3,635.50","3,600.00","3,640.10","3,592.40","220.79K","1.21%"
"09/02/2025","3,592.20","3,517.90","3,602.40","3,506.00","374.14K","1.14%"
"09/01/2025","3,551.82","3,511.17","3,556.87","3,506.05","127.09K","1.13%"
"08/31/2025","3,512.00","3,517.65","3,517.65","3,509.70","","-0.12%"
"08/29/2025","3,516.10","3,477.20","3,518.50","3,463.00","188.55K","1.20%"
"08/28/2025","3,474.30","3,452.60","3,478.70","3,442.50","156.60K","1.12%"
"08/27/2025","3,435.70","3,428.10","3,436.00","3,410.70","0.09K","0.46%"
"08/26/2025","3,420.10","3,398.10","3,427.00","3,398.10","0.15K","0.45%"
"08/25/2025","3,404.90","3,399.70","3,407.20","3,395.00","0.09K","-0.40%"
"08/22/2025","3,418.50","3,383.30","3,423.40","3,362.80","186.04K","1.09%"
"08/21/2025","3,381.60","3,392.20","3,394.40","3,367.40","123.50K","-0.20%"
"08/20/2025","3,388.50","3,359.00","3,394.30","3,353.40","135.52K","0.89%"
"08/19/2025","3,358.70","3,378.30","3,389.70","3,358.10","133.50K","-0.57%"
"08/18/2025","3,378.00","3,382.40","3,403.60","3,368.00","119.14K","-0.14%"
"08/15/2025","3,382.60","3,383.20","3,394.80","3,377.70","118.49K","-0.02%"
"08/14/2025","3,383.20","3,407.20","3,423.80","3,375.50","165.70K","-0.74%"
"08/13/2025","3,408.30","3,399.60","3,422.60","3,392.70","135.85K","0.27%"
"08/12/2025","3,399.00","3,393.60","3,410.80","3,379.10","193.82K","-0.17%"
"08/11/2025","3,404.70","3,458.10","3,466.30","3,393.00","224.51K","-2.48%"
"08/08/2025","3,491.30","3,487.90","3,534.10","3,445.00","321.35K","1.09%"
"08/07/2025","3,453.70","3,431.80","3,483.80","3,430.00","249.09K","0.59%"
"08/06/2025","3,433.40","3,434.90","3,440.50","3,411.70","151.58K","-0.04%"
"08/05/2025","3,434.70","3,428.90","3,444.90","3,403.30","154.16K","0.24%"
"08/04/2025","3,426.40","3,416.60","3,439.50","3,397.90","138.23K","0.78%"
"08/01/2025","3,399.80","3,342.70","3,416.90","3,331.40","229.95K","1.53%"
"07/31/2025","3,348.60","3,327.50","3,366.70","3,324.40","158.03K","-0.13%"
"07/30/2025","3,352.80","3,383.10","3,389.30","3,319.20","203.09K","-0.46%"
"07/29/2025","3,368.30","3,366.10","3,368.80","3,362.40","0.11K","0.43%"
"07/28/2025","3,354.00","3,373.60","3,381.80","3,346.70","0.21K","-1.13%"
"07/25/2025","3,392.50","3,429.20","3,434.30","3,382.30","55.80K","-1.13%"
"07/24/2025","3,431.10","3,455.90","3,458.10","3,411.30","61.91K","-0.69%"
"07/23/2025","3,455.10","3,502.80","3,509.00","3,448.70","68.68K","-1.33%"
"07/22/2025","3,501.80","3,468.70","3,505.80","3,451.70","55.30K","1.12%"
"07/21/2025","3,462.90","3,415.00","3,473.20","3,407.40","39.03K","3.11%"
"07/18/2025","3,358.30","3,347.50","3,368.00","3,337.20","115.41K","0.39%"
"07/17/2025","3,345.30","3,354.70","3,358.20","3,314.30","161.74K","-0.41%"
"07/16/2025","3,359.10","3,330.50","3,385.80","3,326.10","235.16K","0.67%"
"07/15/2025","3,336.70","3,352.00","3,375.40","3,327.30","179.88K","-0.67%"
"07/14/2025","3,359.10","3,376.50","3,389.30","3,348.50","195.34K","-0.15%"
"07/11/2025","3,364.00","3,333.10","3,381.60","3,332.30","216.88K","1.15%"
"07/10/2025","3,325.70","3,322.20","3,339.40","3,319.20","168.19K","0.14%"
"07/09/2025","3,321.00","3,310.60","3,325.60","3,290.20","167.97K","0.12%"
"07/08/2025","3,316.90","3,348.90","3,355.60","3,295.40","218.03K","-0.77%"
"07/07/2025","3,342.80","3,344.50","3,352.90","3,304.40","235.76K","-0.11%"
"07/04/2025","3,346.50","3,335.90","3,354.97","3,335.47","59.92K","0.11%"
"07/03/2025","3,342.90","3,369.00","3,376.90","3,321.40","153.23K","-0.50%"
"07/02/2025","3,359.70","3,350.00","3,371.00","3,337.20","132.19K","0.30%"
"07/01/2025","3,349.80","3,315.70","3,370.50","3,313.70","168.85K","1.27%"
"06/30/2025","3,307.70","3,284.30","3,321.60","3,250.50","144.20K","0.61%"